building,model,horizon_days,horizon_steps,split,MAE,RMSE,R2,MAPE,wMAPE
office,Persistence,5,120,val,360.7425842285156,501.1504732862177,-0.8045082092285156,0.904170572757721,0.8874655365943909
office,Persistence,5,120,test,376.1116027832031,500.6406052499138,-0.9692316055297852,0.9068459272384644,0.8896916508674622
office,MLP,5,120,val,158.10557556152344,224.43211320463922,0.6380966901779175,0.36126935482025146,0.3521011173725128
office,MLP,5,120,test,151.80349731445312,213.45620342648746,0.642017126083374,0.30903688073158264,0.3006720244884491
office,GRU,5,120,val,138.01016235351562,210.41572503914722,0.6818888187408447,0.3146764039993286,0.30527499318122864
office,GRU,5,120,test,136.86729431152344,204.79887237238393,0.6704663634300232,0.2937030494213104,0.2855018973350525
office,LSTM,5,120,val,139.6206817626953,211.8217945732922,0.6776231527328491,0.31445664167404175,0.3038291037082672
office,LSTM,5,120,test,137.76873779296875,204.97951498259528,0.6698848009109497,0.29242250323295593,0.28307732939720154
office,KAN,5,120,val,185.47206115722656,253.3289533269934,0.5389030575752258,0.4745185375213623,0.447380006313324
office,KAN,5,120,test,169.5164337158203,232.07951728610175,0.5768266916275024,0.3666774332523346,0.35073521733283997
office,LSTM_T_KAN,5,120,val,136.22299194335938,210.3020242561873,0.6822324991226196,0.2981872856616974,0.2868134379386902
office,LSTM_T_KAN,5,120,test,133.86729431152344,203.23360558111446,0.675484299659729,0.2817932665348053,0.2704567015171051
office,LSTM_MLP,5,120,val,146.7418670654297,214.57731888820402,0.669181227684021,0.32996565103530884,0.3216979503631592
office,LSTM_MLP,5,120,test,145.3046417236328,207.32593414416345,0.6622837781906128,0.3069775402545929,0.29851752519607544
office,TCN,5,120,val,165.75454711914062,235.5708740883516,0.6012820601463318,0.3782494366168976,0.36639249324798584
office,TCN,5,120,test,163.97433471679688,229.77552734951996,0.5851871967315674,0.3448219299316406,0.3352547585964203
office,NBEATS,5,120,val,161.75054931640625,235.73236115083986,0.6007351875305176,0.29677802324295044,0.2882072627544403
office,NBEATS,5,120,test,163.4978485107422,227.4396726332062,0.5935781002044678,0.28701576590538025,0.2796801030635834
office,Transformer,5,120,val,137.5768585205078,209.7791807770733,0.6838105916976929,0.31671977043151855,0.30742910504341125
office,Transformer,5,120,test,135.31854248046875,203.04726397134732,0.6760791540145874,0.29071176052093506,0.2828201651573181
office,CatBoost,5,120,val,139.16046142578125,214.22091765861708,0.6702792048454285,0.3050674796104431,0.29242125153541565
office,CatBoost,5,120,test,140.8283233642578,210.5526581997957,0.651689887046814,0.29170364141464233,0.28063130378723145
office,XGBoost,5,120,val,138.58526611328125,217.18378593946647,0.6610954999923706,0.299185574054718,0.28681203722953796
office,XGBoost,5,120,test,137.20648193359375,211.00702557912615,0.6501849889755249,0.2819250226020813,0.2709989547729492
office,Persistence,10,240,val,362.3253173828125,502.8923996492689,-0.8059685230255127,0.9057011604309082,0.893754780292511
office,Persistence,10,240,test,370.0926208496094,494.89779563562416,-0.929050087928772,0.8943434357643127,0.8844666481018066
office,MLP,10,240,val,164.845703125,236.83479210200514,0.5994552373886108,0.3754611313343048,0.36567726731300354
office,MLP,10,240,test,147.80722045898438,208.73741541407952,0.6568269729614258,0.3038196265697479,0.29795143008232117
office,GRU,10,240,val,149.1244659423828,226.33474759468552,0.6341841816902161,0.33784225583076477,0.32640331983566284
office,GRU,10,240,test,135.28054809570312,200.2058901168994,0.6843061447143555,0.28924259543418884,0.2838321030139923
office,LSTM,10,240,val,147.6193084716797,226.80381975674484,0.632666289806366,0.33264389634132385,0.31957757472991943
office,LSTM,10,240,test,133.26210021972656,200.52818925901664,0.6832888126373291,0.2878909111022949,0.2814387381076813
office,KAN,10,240,val,183.73289489746094,259.50549428191306,0.5191017985343933,0.4592457711696625,0.43866902589797974
office,KAN,10,240,test,158.37368774414062,221.48757548393093,0.6136230230331421,0.34022796154022217,0.329800009727478
office,LSTM_T_KAN,10,240,val,144.05120849609375,224.38614178464766,0.640455961227417,0.32069653272628784,0.3065757751464844
office,LSTM_T_KAN,10,240,test,129.1567840576172,198.7695352034612,0.6888196468353271,0.2737206816673279,0.26600393652915955
office,LSTM_MLP,10,240,val,157.6399383544922,229.93213163072707,0.6224631071090698,0.348868191242218,0.3400091230869293
office,LSTM_MLP,10,240,test,143.42306518554688,203.28838621217395,0.6745100021362305,0.2977569103240967,0.29205814003944397
office,TCN,10,240,val,166.73080444335938,241.47279220442206,0.5836136937141418,0.3743593394756317,0.3626956641674042
office,TCN,10,240,test,157.15541076660156,223.96495435949348,0.6049312949180603,0.32795700430870056,0.3208942115306854
office,NBEATS,10,240,val,170.2296600341797,251.7867789047908,0.5472840070724487,0.312778502702713,0.3020678162574768
office,NBEATS,10,240,test,161.38121032714844,226.71680090478517,0.5951633453369141,0.27996277809143066,0.27472811937332153
office,Transformer,10,240,val,147.76776123046875,226.30573381213742,0.6342779397964478,0.33458411693573,0.3219512104988098
office,Transformer,10,240,test,131.5098114013672,196.77050798455545,0.6950472593307495,0.2801899015903473,0.2736808657646179
office,CatBoost,10,240,val,147.385986328125,229.67137698513935,0.6233189105987549,0.32062071561813354,0.30570146441459656
office,CatBoost,10,240,test,134.01255798339844,203.280411700808,0.6745355725288391,0.27659061551094055,0.268018513917923
office,XGBoost,10,240,val,147.20945739746094,232.09530471069422,0.6153260469436646,0.31422731280326843,0.2999008595943451
office,XGBoost,10,240,test,131.11854553222656,203.7720942775286,0.6729592084884644,0.2683793902397156,0.2599250078201294
office,Persistence,15,360,val,366.031005859375,506.2081309846771,-0.8185690641403198,0.9109013080596924,0.8996332883834839
office,Persistence,15,360,test,368.8606262207031,493.4593448299465,-0.9209365844726562,0.8914023041725159,0.8830999135971069
office,MLP,15,360,val,171.4237518310547,244.72603464129025,0.5749579668045044,0.38146069645881653,0.3733319640159607
office,MLP,15,360,test,149.11489868164062,209.74231772284296,0.6529576778411865,0.30464330315589905,0.3005206286907196
office,GRU,15,360,val,157.2434539794922,236.5128167774423,0.6030087471008301,0.3571297228336334,0.3458927273750305
office,GRU,15,360,test,135.2125701904297,201.69196423630763,0.6790869235992432,0.2927101254463196,0.2897756099700928
office,LSTM,15,360,val,154.15777587890625,235.13146256403033,0.6076325178146362,0.34639570116996765,0.33327916264533997
office,LSTM,15,360,test,132.27381896972656,200.25171659688712,0.683653712272644,0.2892780303955078,0.2857496738433838
office,KAN,15,360,val,187.2720184326172,265.56387532004425,0.49949371814727783,0.4602355360984802,0.44697436690330505
office,KAN,15,360,test,155.62681579589844,219.88495749198034,0.6185818910598755,0.3336215615272522,0.32780954241752625
office,LSTM_T_KAN,15,360,val,153.03790283203125,235.0064410686439,0.6080496311187744,0.33259356021881104,0.3181357681751251
office,LSTM_T_KAN,15,360,test,127.3335952758789,196.82703780857955,0.6943814158439636,0.2696593403816223,0.26412808895111084
office,LSTM_MLP,15,360,val,165.7913055419922,241.18648775377116,0.587164044380188,0.36268019676208496,0.35282158851623535
office,LSTM_MLP,15,360,test,146.3931884765625,207.04585090022934,0.661823570728302,0.3028521239757538,0.29849299788475037
office,TCN,15,360,val,173.47933959960938,249.34883164705224,0.5587484836578369,0.38513508439064026,0.3753699064254761
office,TCN,15,360,test,157.4877471923828,223.8048989912866,0.6048613786697388,0.32759830355644226,0.32249391078948975
office,NBEATS,15,360,val,177.58409118652344,262.1888185306536,0.5121347904205322,0.31966838240623474,0.3076697289943695
office,NBEATS,15,360,test,160.4498748779297,226.79733519157583,0.594224214553833,0.2745232582092285,0.2711024582386017
office,Transformer,15,360,val,158.18966674804688,236.6986975830243,0.6023845076560974,0.35454630851745605,0.34210705757141113
office,Transformer,15,360,test,133.4637451171875,197.80260638765608,0.6913443207740784,0.2832169532775879,0.2790052890777588
office,CatBoost,15,360,val,158.05332946777344,242.30131196766146,0.5833387970924377,0.3385005593299866,0.3221157491207123
office,CatBoost,15,360,test,133.21922302246094,202.26476498948105,0.6772615313529968,0.27346640825271606,0.26781150698661804
office,XGBoost,15,360,val,158.69329833984375,246.46988121015923,0.5688788890838623,0.3332543969154358,0.31710708141326904
office,XGBoost,15,360,test,130.60667419433594,203.0655105193888,0.6747010946273804,0.2657950520515442,0.2600151002407074
office,Persistence,20,480,val,368.8628234863281,508.3099909258129,-0.8217605352401733,0.9039887189865112,0.8920043706893921
office,Persistence,20,480,test,372.532470703125,496.4483545647019,-0.9464437961578369,0.9007513523101807,0.890747606754303
office,MLP,20,480,val,178.0106201171875,251.4086952180652,0.5543493032455444,0.3925348222255707,0.3857642412185669
office,MLP,20,480,test,152.1029052734375,213.4410413322611,0.6402095556259155,0.31447210907936096,0.30945366621017456
office,GRU,20,480,val,165.8282470703125,242.94782265179904,0.5838403105735779,0.3656698763370514,0.3557603359222412
office,GRU,20,480,test,139.95314025878906,204.98724236217726,0.6681457757949829,0.300289511680603,0.29592597484588623
office,LSTM,20,480,val,164.65501403808594,242.97990529054044,0.5837303400039673,0.36132773756980896,0.3496054410934448
office,LSTM,20,480,test,136.02532958984375,203.50437648856595,0.6729296445846558,0.28920918703079224,0.28415241837501526
office,KAN,20,480,val,195.55734252929688,271.64014281306066,0.4797382950782776,0.47219863533973694,0.459538996219635
office,KAN,20,480,test,162.09530639648438,224.7887550012233,0.600935697555542,0.3466778099536896,0.338685542345047
office,LSTM_T_KAN,20,480,val,163.148193359375,243.63420326382746,0.5814855098724365,0.3600631058216095,0.34602779150009155
office,LSTM_T_KAN,20,480,test,134.30361938476562,204.38619044287213,0.6700890064239502,0.29066044092178345,0.28450360894203186
office,LSTM_MLP,20,480,val,173.13084411621094,247.2701268350061,0.5689007043838501,0.3771994411945343,0.37054726481437683
office,LSTM_MLP,20,480,test,145.1955108642578,205.82378309490863,0.6654316186904907,0.3058576285839081,0.30176037549972534
office,TCN,20,480,val,179.8978271484375,254.7162407096375,0.5425461530685425,0.3966239392757416,0.3890962600708008
office,TCN,20,480,test,161.17562866210938,226.93087294096853,0.5932937264442444,0.3346639573574066,0.3290170431137085
office,NBEATS,20,480,val,186.65243530273438,270.31632222731207,0.48479682207107544,0.34236353635787964,0.32789909839630127
office,NBEATS,20,480,test,167.8836669921875,234.05277850305472,0.567365288734436,0.2920302450656891,0.28579840064048767
office,Transformer,20,480,val,165.34092712402344,244.5745588644698,0.5782485604286194,0.35830995440483093,0.34667813777923584
office,Transformer,20,480,test,136.3437042236328,201.19260633470108,0.6803183555603027,0.28665339946746826,0.2814466655254364
office,CatBoost,20,480,val,165.7269744873047,249.24417777803757,0.5619900226593018,0.3535479009151459,0.3362240493297577
office,CatBoost,20,480,test,138.30287170410156,207.6317164777578,0.6595282554626465,0.28294071555137634,0.2753160297870636
office,XGBoost,20,480,val,165.77560424804688,252.82248126155633,0.5493230223655701,0.3480392098426819,0.33063018321990967
office,XGBoost,20,480,test,135.54493713378906,208.36315203269507,0.6571252346038818,0.2755885422229767,0.2678145468235016
office,Persistence,25,600,val,371.3954162597656,510.0552053454606,-0.823271632194519,0.9026715159416199,0.8917335271835327
office,Persistence,25,600,test,371.87957763671875,495.76484470966676,-0.9431850910186768,0.8996657729148865,0.8911392092704773
office,MLP,25,600,val,181.5062255859375,254.73146859732506,0.545240044593811,0.3886013329029083,0.3838992714881897
office,MLP,25,600,test,152.6580352783203,213.6977823644878,0.6389538049697876,0.31082698702812195,0.30660587549209595
office,GRU,25,600,val,171.7264862060547,249.67035297818202,0.5631313323974609,0.37222355604171753,0.3627946674823761
office,GRU,25,600,test,141.10272216796875,206.7402128880591,0.6620810031890869,0.30236849188804626,0.29872357845306396
office,LSTM,25,600,val,170.5548858642578,248.99043813217006,0.5655074119567871,0.367497980594635,0.35728439688682556
office,LSTM,25,600,test,138.71820068359375,204.7731786330915,0.6684806942939758,0.29299458861351013,0.28910598158836365
office,KAN,25,600,val,199.1574249267578,275.0768926591254,0.4696955680847168,0.474880188703537,0.46568241715431213
office,KAN,25,600,test,161.76930236816406,225.11949084042013,0.5993281006813049,0.3462068736553192,0.33958297967910767
office,LSTM_T_KAN,25,600,val,170.95413208007812,249.01752260132218,0.5654128789901733,0.3743036091327667,0.3634990453720093
office,LSTM_T_KAN,25,600,test,138.9580841064453,206.35441485766665,0.6633409857749939,0.2999016344547272,0.2952592372894287
office,LSTM_MLP,25,600,val,178.4000701904297,251.76029491115156,0.5557867884635925,0.38080957531929016,0.37515154480934143
office,LSTM_MLP,25,600,test,148.7103729248047,209.6137910688369,0.6526219248771667,0.30625903606414795,0.3024155795574188
office,TCN,25,600,val,183.73016357421875,259.8470253100851,0.526791512966156,0.40372714400291443,0.3975848853588104
office,TCN,25,600,test,161.08990478515625,228.24810034806424,0.5881140232086182,0.3407441973686218,0.33612990379333496
office,NBEATS,25,600,val,190.41860961914062,274.3941337292035,0.47232484817504883,0.34427735209465027,0.33112841844558716
office,NBEATS,25,600,test,165.01541137695312,231.41504245618952,0.5766048431396484,0.285428524017334,0.28091421723365784
office,Transformer,25,600,val,169.69715881347656,248.08403314199808,0.568665087223053,0.3701707422733307,0.3618653416633606
office,Transformer,25,600,test,136.2392578125,201.64946767224555,0.6785178184509277,0.2922808825969696,0.28928473591804504
office,CatBoost,25,600,val,171.1119384765625,254.45849366841736,0.54621422290802,0.3634170591831207,0.3488912582397461
office,CatBoost,25,600,test,139.11651611328125,208.5026697221165,0.6562949419021606,0.28435376286506653,0.2775968611240387
office,XGBoost,25,600,val,170.67874145507812,257.3314071873078,0.5359095335006714,0.35841134190559387,0.3434866666793823
office,XGBoost,25,600,test,136.4061279296875,209.07570959762398,0.6544030904769897,0.27751624584198,0.270465224981308
office,Persistence,30,720,val,373.41748046875,510.91758753247086,-0.8216311931610107,0.9017273187637329,0.8911750912666321
office,Persistence,30,720,test,370.0514831542969,493.9567446902613,-0.9314427375793457,0.8919076323509216,0.8845839500427246
office,MLP,30,720,val,183.48793029785156,258.3387734642247,0.5342660546302795,0.3851744830608368,0.3820968270301819
office,MLP,30,720,test,152.32899475097656,213.69527808306856,0.6385120153427124,0.30898797512054443,0.3056384325027466
office,GRU,30,720,val,177.53549194335938,255.1967072181771,0.5455261468887329,0.3866095244884491,0.37757062911987305
office,GRU,30,720,test,141.51409912109375,206.08586271867364,0.663797914981842,0.3049127757549286,0.3018222749233246
office,LSTM,30,720,val,178.67495727539062,254.23989809085828,0.5489277243614197,0.39577534794807434,0.3879950940608978
office,LSTM,30,720,test,143.00448608398438,207.9488838182355,0.6576918959617615,0.31454113125801086,0.3119140863418579
office,KAN,30,720,val,201.7956085205078,277.96392807790727,0.46081775426864624,0.4777606427669525,0.4712187647819519
office,KAN,30,720,test,160.9285430908203,223.5198973945049,0.6045092344284058,0.34679341316223145,0.34158703684806824
office,LSTM_T_KAN,30,720,val,171.67672729492188,252.4748517798357,0.5551691055297852,0.36057090759277344,0.34957143664360046
office,LSTM_T_KAN,30,720,test,134.88282775878906,202.77385032345762,0.6745172739028931,0.2809344530105591,0.27581170201301575
office,LSTM_MLP,30,720,val,181.2777099609375,255.9346077370155,0.5428941249847412,0.37970370054244995,0.3768808841705322
office,LSTM_MLP,30,720,test,146.96897888183594,208.18147694679755,0.6569256782531738,0.29934635758399963,0.29637253284454346
office,TCN,30,720,val,189.44302368164062,264.9914945569008,0.5099700689315796,0.407929003238678,0.4036274552345276
office,TCN,30,720,test,162.75001525878906,228.5982249220234,0.5863341093063354,0.34265589714050293,0.3388380706310272
office,NBEATS,30,720,val,194.60592651367188,280.15524435123467,0.45228296518325806,0.3474207818508148,0.3372590243816376
office,NBEATS,30,720,test,163.8170166015625,231.0029761713039,0.5775852203369141,0.28117695450782776,0.2798219621181488
office,Transformer,30,720,val,177.43763732910156,253.30919995383113,0.5522241592407227,0.3885050415992737,0.38051673769950867
office,Transformer,30,720,test,141.45013427734375,204.93179124406248,0.6675528287887573,0.30487093329429626,0.30150970816612244
office,CatBoost,30,720,val,175.92308044433594,259.8893995529637,0.5286582708358765,0.3707695007324219,0.3575590252876282
office,CatBoost,30,720,test,139.1577911376953,208.343119561818,0.6563927531242371,0.28413814306259155,0.2783728241920471
office,XGBoost,30,720,val,175.05970764160156,262.0861469774776,0.5206564664840698,0.3660012483596802,0.35236579179763794
office,XGBoost,30,720,test,136.723388671875,208.92939522120864,0.6544562578201294,0.2779807150363922,0.2717968225479126
